VT("/net2") X,VT("/net2") Y,VT("/net7") X,VT("/net7") Y,VT("/net14") X,VT("/net14") Y,VT("/net039") X,VT("/net039") Y,VT("/net069") X,VT("/net069") Y
9.995806203063914e-07,0.513603160696432,9.995806203063914e-07,5.020556041441289e-08,9.995806203063914e-07,-7.866697994264873e-08,9.995806203063914e-07,-9.067375842167944e-07,9.995806203063914e-07,-8.907648984060046e-07
9.995877340511692e-07,0.5721448094720697,9.995877340511692e-07,-5.034072452104023e-06,9.995877340511692e-07,-3.158060464602209e-06,9.995877340511692e-07,-6.160850458543782e-06,9.995877340511692e-07,-6.13213222836322e-06
9.995912575874081e-07,0.6017947217987364,9.995912575874081e-07,-1.159221296770414e-05,9.995912575874081e-07,-7.336636069695398e-06,9.995912575874081e-07,-1.366574442623987e-05,9.995912575874081e-07,-1.367585428848858e-05
9.995979964901014e-07,0.6531763881125517,9.995979964901014e-07,-2.400786105948577e-05,9.995979964901014e-07,-1.474800722404002e-05,9.995979964901014e-07,-2.792402019135512e-05,9.995979964901014e-07,-2.797740873031839e-05
9.9961013455164e-07,0.7211404974255039,9.9961013455164e-07,-4.668089378012239e-05,9.9961013455164e-07,-2.723696656555393e-05,9.9961013455164e-07,-5.19122661453714e-05,9.9961013455164e-07,-5.186828842713353e-05
9.996131421294967e-07,0.732022671484698,9.996131421294967e-07,-4.653264842622184e-05,9.996131421294967e-07,-2.647524285805268e-05,9.996131421294967e-07,-5.078065982326636e-05,9.996131421294967e-07,-5.06744766803085e-05
9.9961915728521e-07,0.74826442431778,9.9961915728521e-07,-1.282159621446557e-05,9.9961915728521e-07,-3.554297840111411e-06,9.9961915728521e-07,-9.067751394486816e-06,9.9961915728521e-07,-8.659152367363933e-06
9.996252132973382e-07,0.7598574748882084,9.996252132973382e-07,2.674593524709981e-05,9.996252132973382e-07,2.100119216795534e-05,9.996252132973382e-07,3.910700993452419e-05,9.996252132973382e-07,3.972096459461447e-05
9.996270930214579e-07,0.7620812007656669,9.996270930214579e-07,3.14434982906022e-05,9.996270930214579e-07,2.311351487075853e-05,9.996270930214579e-07,4.51616729018096e-05,9.996270930214579e-07,4.577600094095497e-05
9.996305793892938e-07,0.7640873800660477,9.996305793892938e-07,4.112388385505066e-05,9.996305793892938e-07,2.753905767236701e-05,9.996305793892938e-07,5.438800373850715e-05,9.996305793892938e-07,5.473351591488887e-05
9.996315461898915e-07,0.7643811012928295,9.996315461898915e-07,4.411443588922134e-05,9.996315461898915e-07,2.897228363111834e-05,9.996315461898915e-07,5.683832729391554e-05,9.996315461898915e-07,5.708889022811654e-05
9.996334797910868e-07,0.7656579920532405,9.996334797910868e-07,4.54463419944888e-05,9.996334797910868e-07,2.892989304208411e-05,9.996334797910868e-07,5.697477259622026e-05,9.996334797910868e-07,5.712532332439743e-05
9.99635774588588e-07,0.7679810349207041,9.99635774588588e-07,4.544229557338703e-05,9.99635774588588e-07,2.799488208609822e-05,9.99635774588588e-07,5.506629860480727e-05,9.99635774588588e-07,5.508608744489083e-05
9.996390377954196e-07,0.77183677281935,9.996390377954196e-07,5.595224179464572e-05,9.996390377954196e-07,3.384366064632961e-05,9.996390377954196e-07,6.44948343771867e-05,9.996390377954196e-07,6.440520500398883e-05
9.996425885216667e-07,0.7764683619253767,9.996425885216667e-07,7.754689252922855e-05,9.996425885216667e-07,4.701527466951881e-05,9.996425885216667e-07,8.780647191043147e-05,9.996425885216667e-07,8.779128037261342e-05
9.996463154586189e-07,0.7811833718344688,9.996463154586189e-07,8.971983184351132e-05,9.996463154586189e-07,5.344165205011324e-05,9.996463154586189e-07,0.0001007925896525449,9.996463154586189e-07,0.0001008054505602867
