VT("/net14") X,VT("/net14") Y,VT("/I0/net18") X,VT("/I0/net18") Y,VT("/net16") X,VT("/net16") Y,VT("/net17") X,VT("/net17") Y
9.996131421294967e-07,-2.647524285805268e-05,9.996131421294967e-07,-1.733646344096891e-05,9.996131421294967e-07,-1.066361513815241e-05,9.996131421294967e-07,-9.306257225371378e-06
9.9961915728521e-07,-3.554297840111411e-06,9.9961915728521e-07,3.946625334751539e-06,9.9961915728521e-07,1.072254598696492e-05,9.9961915728521e-07,3.734851820848467e-06
9.996252132973382e-07,2.100119216795534e-05,9.996252132973382e-07,2.138175048419109e-05,9.996252132973382e-07,2.30228751274808e-05,9.996252132973382e-07,1.243853652525019e-05
9.996270930214579e-07,2.311351487075853e-05,9.996270930214579e-07,2.040480624366837e-05,9.996270930214579e-07,1.988219986702267e-05,9.996270930214579e-07,1.054854456055416e-05
9.996305793892938e-07,2.753905767236701e-05,9.996305793892938e-07,2.098032963284526e-05,9.996305793892938e-07,1.679264334288941e-05,9.996305793892938e-07,1.076808158689296e-05
9.996315461898915e-07,2.897228363111834e-05,9.996315461898915e-07,2.174734477724981e-05,9.996315461898915e-07,1.709812110255745e-05,9.996315461898915e-07,1.153911449449325e-05
9.996334797910868e-07,2.892989304208411e-05,9.996334797910868e-07,2.048875104254776e-05,9.996334797910868e-07,1.670151163759108e-05,9.996334797910868e-07,1.073173506661305e-05
9.99635774588588e-07,2.799488208609822e-05,9.99635774588588e-07,1.865393486158847e-05,9.99635774588588e-07,1.563286918790011e-05,9.99635774588588e-07,9.667795765211186e-06
9.996390377954196e-07,3.384366064632961e-05,9.996390377954196e-07,2.366887130545195e-05,9.996390377954196e-07,1.806772237368451e-05,9.996390377954196e-07,1.327194240611716e-05
9.996425885216667e-07,4.701527466951881e-05,9.996425885216667e-07,3.502489148809569e-05,9.996425885216667e-07,2.345599525115838e-05,9.996425885216667e-07,2.015479632022208e-05
9.996463154586189e-07,5.344165205011324e-05,9.996463154586189e-07,3.814070493228379e-05,9.996463154586189e-07,2.245778132507921e-05,9.996463154586189e-07,2.102747351897399e-05
9.99648002681882e-07,5.171644284155113e-05,9.99648002681882e-07,3.47226662568108e-05,9.99648002681882e-07,1.825444920124324e-05,9.99648002681882e-07,1.830712181061311e-05
9.996513771284083e-07,3.387569697309299e-05,9.996513771284083e-07,1.622903011344978e-05,9.996513771284083e-07,2.628648629681894e-06,9.996513771284083e-07,6.870193899608667e-06
9.99655018307063e-07,6.897152895042644e-06,9.99655018307063e-07,-6.47360621043352e-06,9.99655018307063e-07,-1.521049515597459e-05,9.99655018307063e-07,-5.03529292371869e-06
9.996560132991254e-07,3.727966300076118e-06,9.996560132991254e-07,-7.655083515684254e-06,9.996560132991254e-07,-1.742781842011302e-05,9.996560132991254e-07,-4.647669797743316e-06
9.996580032832501e-07,1.441699415873869e-06,9.996580032832501e-07,-6.033140662304578e-06,9.996580032832501e-07,-2.051726528035461e-05,9.996580032832501e-07,-2.212103924470509e-06
9.996610672315141e-07,-1.02970274061591e-05,9.996610672315141e-07,-1.306389166021072e-05,9.996610672315141e-07,-2.807444327203111e-05,9.996610672315141e-07,-7.018462477934158e-06
9.996643253959737e-07,-2.401606251820782e-05,9.996643253959737e-07,-2.213754323930198e-05,9.996643253959737e-07,-3.027720775419104e-05,9.996643253959737e-07,-1.265777642903209e-05
9.996688939037912e-07,-3.798159910585388e-05,9.996688939037912e-07,-3.001029326841328e-05,9.996688939037912e-07,-2.725328226135548e-05,9.996688939037912e-07,-1.643186787763545e-05
9.996744279542042e-07,-4.010887344190719e-05,9.996744279542042e-07,-2.731656583073211e-05,9.996744279542042e-07,-1.857752862925286e-05,9.996744279542042e-07,-1.367574560487877e-05
9.996801854543599e-07,-3.9631755533909e-05,9.996801854543599e-07,-2.53595159243553e-05,9.996801854543599e-07,-1.422083712797202e-05,9.996801854543599e-07,-1.30470134659995e-05
9.996825825747386e-07,-3.108605021282018e-05,9.996825825747386e-07,-1.674180529897893e-05,9.996825825747386e-07,-4.233361107035036e-06,9.996825825747386e-07,-7.613994949989047e-06
9.996873768154961e-07,3.168006929451497e-06,9.996873768154961e-07,1.312329015816451e-05,9.996873768154961e-07,2.682021519290285e-05,9.996873768154961e-07,9.297923656619438e-06
9.996886481877898e-07,1.174452243343699e-05,9.996886481877898e-07,1.915490425628616e-05,9.996886481877898e-07,3.207184185269727e-05,9.996886481877898e-07,1.174377954462056e-05
9.996911909323772e-07,1.897269080837497e-05,9.996911909323772e-07,2.146029640129014e-05,9.996911909323772e-07,2.964030574067799e-05,9.996911909323772e-07,1.076118273776998e-05
9.99692191625637e-07,1.926389775188955e-05,9.99692191625637e-07,2.039633863537098e-05,9.99692191625637e-07,2.620117481631674e-05,9.99692191625637e-07,9.345655093242254e-06
9.996941930121568e-07,2.273210777097086e-05,9.996941930121568e-07,2.257775579931042e-05,9.996941930121568e-07,2.472439373826197e-05,9.996941930121568e-07,1.00670433780602e-05
9.996970288237283e-07,3.14716597691626e-05,9.996970288237283e-07,2.866095180197669e-05,9.996970288237283e-07,2.770749657883787e-05,9.996970288237283e-07,1.432454502069108e-05
9.996992496455573e-07,3.201485537771511e-05,9.996992496455573e-07,2.575734996643121e-05,9.996992496455573e-07,2.524632216207614e-05,9.996992496455573e-07,1.269965781817592e-05
9.997020146810258e-07,3.020475525785505e-05,9.997020146810258e-07,2.047002532274081e-05,9.997020146810258e-07,2.158785863158528e-05,9.997020146810258e-07,1.024835370711321e-05
9.997050090233754e-07,3.45702208723316e-05,9.997050090233754e-07,2.315296126413794e-05,9.997050090233754e-07,2.244378407185739e-05,9.997050090233754e-07,1.296617173005313e-05
9.997101115442632e-07,5.134608943364269e-05,9.997101115442632e-07,3.730062641319152e-05,9.997101115442632e-07,2.756531209735455e-05,9.997101115442632e-07,2.164153678240048e-05
9.997137784675757e-07,5.412113691521049e-05,9.997137784675757e-07,3.678584669435571e-05,9.997137784675757e-07,2.291315487482877e-05,9.997137784675757e-07,2.051541419017396e-05
9.997152946748216e-07,4.99610335856842e-05,9.997152946748216e-07,3.030224792212578e-05,9.997152946748216e-07,1.640422177480043e-05,9.997152946748216e-07,1.650340529153233e-05
9.997160527784446e-07,4.554618500924202e-05,9.997160527784446e-07,2.449668387367003e-05,9.997160527784446e-07,1.145874559312919e-05,9.997160527784446e-07,1.33070529344983e-05
9.997175689856907e-07,3.347590027477764e-05,9.997175689856907e-07,1.01751721464502e-05,9.997175689856907e-07,3.071663925815036e-07,9.997175689856907e-07,5.924660336075999e-06
9.997206014001829e-07,9.291809304242091e-06,9.997206014001829e-07,-1.569549658504575e-05,9.997206014001829e-07,-1.808518640270821e-05,9.997206014001829e-07,-4.990156133562825e-06
9.997215054797846e-07,5.01859823468713e-06,9.997215054797846e-07,-2.094708094091085e-05,9.997215054797846e-07,-2.140307081841663e-05,9.997215054797846e-07,-5.119732283033073e-06
9.99723313638988e-07,2.154563858018503e-06,9.99723313638988e-07,-2.826073732761362e-05,9.99723313638988e-07,-2.694614197708546e-05,9.99723313638988e-07,-2.846013164975118e-06
9.997258608627724e-07,-4.748889373259081e-06,9.997258608627724e-07,-3.612005976317236e-05,9.997258608627724e-07,-3.591771309286179e-05,9.997258608627724e-07,-5.225068639399916e-06
9.997283519505524e-07,-1.622899652581295e-05,9.997283519505524e-07,-3.823141165667275e-05,9.997283519505524e-07,-4.03436320279516e-05,9.997283519505524e-07,-1.039065775365543e-05
9.997318356972152e-07,-2.844316572957761e-05,9.997318356972152e-07,-3.20598739451301e-05,9.997318356972152e-07,-3.652998246854621e-05,9.997318356972152e-07,-1.340322451264794e-05
9.997388031905407e-07,-4.239023264610786e-05,9.997388031905407e-07,-2.704911988566082e-05,9.997388031905407e-07,-2.645520961174335e-05,9.997388031905407e-07,-1.589237839303168e-05
9.997460728602843e-07,-3.884104060664325e-05,9.997460728602843e-07,-2.123277423724298e-05,9.997460728602843e-07,-1.40412330988936e-05,9.997460728602843e-07,-1.23359984345116e-05
9.997480691570504e-07,-3.293342852048116e-05,9.997480691570504e-07,-6.386389420989373e-06,9.997480691570504e-07,-5.777213946948213e-06,9.997480691570504e-07,-9.438515046802028e-06
9.997520617505826e-07,-3.795757912169941e-06,9.997520617505826e-07,5.918666284355921e-05,9.997520617505826e-07,2.67252260614831e-05,9.997520617505826e-07,5.715444163476895e-06
9.997571534208958e-07,2.299513828953602e-05,9.997571534208958e-07,8.623732284237295e-05,9.997571534208958e-07,4.461212585714073e-05,9.997571534208958e-07,1.612578840794495e-05
9.997586558727192e-07,2.401832444471888e-05,9.997586558727192e-07,8.165052320498438e-05,9.997586558727192e-07,3.787065743838542e-05,9.997586558727192e-07,1.447814767945285e-05
9.99761660776366e-07,2.724304493603887e-05,9.99761660776366e-07,8.611156637497351e-05,9.99761660776366e-07,2.586923814414053e-05,9.99761660776366e-07,1.480230374801345e-05
9.997625064348448e-07,2.905049188192352e-05,9.997625064348448e-07,8.841980976906395e-05,9.997625064348448e-07,2.492191867906192e-05,9.997625064348448e-07,1.594108703049312e-05
9.997641977518023e-07,3.134867829144601e-05,9.997641977518023e-07,8.863204103844848e-05,9.997641977518023e-07,2.562107261177457e-05,9.997641977518023e-07,1.576284149912375e-05
9.99766733319664e-07,2.993217706299693e-05,9.99766733319664e-07,9.555208526674273e-05,9.99766733319664e-07,2.320192516543093e-05,9.99766733319664e-07,1.08706679499291e-05
9.997691643341334e-07,3.219542691054237e-05,9.997691643341334e-07,0.0001275135300522301,9.997691643341334e-07,2.159450326580126e-05,9.997691643341334e-07,1.03909089023006e-05
9.997740263630724e-07,4.74989146950523e-05,9.997740263630724e-07,0.0002050839449834274,9.997740263630724e-07,2.716727253678342e-05,9.997740263630724e-07,1.878191667959309e-05
9.997773709724226e-07,5.307946247240295e-05,9.997773709724226e-07,0.0002028780301525444,9.997773709724226e-07,2.838058722239734e-05,9.997773709724226e-07,2.175416000992197e-05
9.997826506741157e-07,3.446579454475719e-05,9.997826506741157e-07,6.758584774911594e-05,9.997826506741157e-07,1.297978402168176e-05,9.997826506741157e-07,8.343354344338463e-06
9.99787134083552e-07,4.382214065067964e-06,9.99787134083552e-07,-8.420782480958308e-05,9.99787134083552e-07,-5.377453339508109e-06,9.99787134083552e-07,-1.498146974245205e-05
9.997887352659415e-07,-4.603573011150007e-07,9.997887352659415e-07,-0.0001254923833656825,9.997887352659415e-07,-6.618591200012871e-06,9.997887352659415e-07,-2.399283339034741e-05
9.997913512483393e-07,-3.225792574850399e-06,9.997913512483393e-07,-0.000153107171248193,9.997913512483393e-07,-6.966167398197925e-06,9.997913512483393e-07,-3.45218209831363e-05
9.997948932902277e-07,-1.38134123592579e-05,9.997948932902277e-07,-0.0001554783353960814,9.997948932902277e-07,-1.369169593899894e-05,9.997948932902277e-07,-3.370262809146783e-05
9.997979540697984e-07,-2.805234424468191e-05,9.997979540697984e-07,-0.0001465636307829183,9.997979540697984e-07,-1.985817832696636e-05,9.997979540697984e-07,-2.784654677322193e-05
9.998020216552865e-07,-3.279208019768832e-05,9.998020216552865e-07,-0.0001092396702074072,9.998020216552865e-07,-1.587089808449368e-05,9.998020216552865e-07,-1.607097841605727e-05
9.998060960866545e-07,-3.890873038476477e-05,9.998060960866545e-07,-8.365908856502763e-05,9.998060960866545e-07,-1.620996923406369e-05,9.998060960866545e-07,-1.464118719315836e-05
9.998128174797598e-07,-3.715986173694347e-05,9.998128174797598e-07,-5.09589123580349e-05,9.998128174797598e-07,-1.261569294932291e-05,9.998128174797598e-07,-6.674988641548135e-06
9.998148429354496e-07,-2.952223473962742e-05,9.998148429354496e-07,-3.861316445570861e-05,9.998148429354496e-07,-8.092762672099445e-06,9.998148429354496e-07,9.944863650299427e-06
