VT("/net064") X,VT("/net064") Y,VT("/net017") X,VT("/net017") Y,VT("/net072") X,VT("/net072") Y,VT("/net037") X,VT("/net037") Y,VT("/I70/I0/net44") X,VT("/I70/I0/net44") Y,VT("/I70/I0/net56") X,VT("/I70/I0/net56") Y
9.995466495214403e-07,1.851278859586658e-05,9.995466495214403e-07,1.947653997083123e-05,9.995466495214403e-07,1.540110768195402e-05,9.995466495214403e-07,7.983065766318831e-06,9.995466495214403e-07,2.161238262681382e-05,9.995466495214403e-07,0.8000300184444532
9.995622130929485e-07,1.09570151851221e-05,9.995622130929485e-07,1.073664638284396e-05,9.995622130929485e-07,7.648177122176098e-06,9.995622130929485e-07,2.206743074535956e-06,9.995622130929485e-07,1.179012897312531e-05,9.995622130929485e-07,0.8000209294614932
9.995751375342299e-07,-1.52873669062791e-06,9.995751375342299e-07,-2.579339357256237e-06,9.995751375342299e-07,-3.235383923243902e-06,9.995751375342299e-07,-3.998281896442367e-06,9.995751375342299e-07,-3.220157127617325e-06,9.995751375342299e-07,0.8000019228720089
9.995806203063914e-07,-1.085912552885673e-06,9.995806203063914e-07,-1.158342867671078e-06,9.995806203063914e-07,-1.084371699433327e-06,9.995806203063914e-07,-7.501712045691515e-07,9.995806203063914e-07,-1.725462976426346e-06,9.995806203063914e-07,0.8000011010887202
9.995877340511692e-07,-8.577169424136038e-06,9.995877340511692e-07,-9.486520698945629e-06,9.995877340511692e-07,-8.42955253429528e-06,9.995877340511692e-07,-5.922389652222589e-06,9.995877340511692e-07,-1.08380837424126e-05,9.995877340511692e-07,0.7999881797445401
9.995912575874081e-07,-1.798320756452121e-05,9.995912575874081e-07,-2.039688580961359e-05,9.995912575874081e-07,-1.828929291995212e-05,9.995912575874081e-07,-1.345984885175327e-05,9.995912575874081e-07,-2.297291072842314e-05,9.995912575874081e-07,0.7999736113778397
9.995979964901014e-07,-4.044578762237544e-05,9.995979964901014e-07,-4.502591740189633e-05,9.995979964901014e-07,-3.899604945506599e-05,9.995979964901014e-07,-2.641361988651524e-05,9.995979964901014e-07,-5.095161066230347e-05,9.995979964901014e-07,0.7999386228316072
9.9961013455164e-07,-8.644191920886649e-05,9.9961013455164e-07,-9.306757993976327e-05,9.9961013455164e-07,-7.75815304640258e-05,9.9961013455164e-07,-4.633215807861804e-05,9.9961013455164e-07,-0.0001054493355905136,9.9961013455164e-07,0.7998620276627348
9.996131421294967e-07,-9.011679587343159e-05,9.996131421294967e-07,-9.563179396441557e-05,9.996131421294967e-07,-7.841363005093826e-05,9.996131421294967e-07,-4.404792649218937e-05,9.996131421294967e-07,-0.0001084452072098685,9.996131421294967e-07,0.7998524729042995
9.9961915728521e-07,-4.709994379673954e-05,9.9961915728521e-07,-4.264944936418221e-05,9.9961915728521e-07,-2.805310549969741e-05,9.9961915728521e-07,-6.515705804367487e-07,9.9961915728521e-07,-4.920500723572648e-05,9.9961915728521e-07,0.7999037201185645
9.996252132973382e-07,2.401600222203577e-05,9.996252132973382e-07,3.660309243402396e-05,9.996252132973382e-07,3.940694598195166e-05,9.996252132973382e-07,4.367301521075017e-05,9.996252132973382e-07,4.110044336651354e-05,9.996252132973382e-07,0.7999988322288404
9.996270930214579e-07,4.109050836218865e-05,9.996270930214579e-07,5.349842306926275e-05,9.996270930214579e-07,5.134671585944343e-05,9.996270930214579e-07,4.68894273349123e-05,9.996270930214579e-07,6.10516497682653e-05,9.996270930214579e-07,0.8000225385620914
9.996305793892938e-07,6.807395131029037e-05,9.996305793892938e-07,7.948901841755296e-05,9.996305793892938e-07,7.01553082600589e-05,9.996305793892938e-07,5.207487834325011e-05,9.996305793892938e-07,9.068245921009738e-05,9.996305793892938e-07,0.8000629600653179
9.996315461898915e-07,7.477272803867771e-05,9.996315461898915e-07,8.591655853788931e-05,9.996315461898915e-07,7.499637152433176e-05,9.996315461898915e-07,5.369837145424674e-05,9.996315461898915e-07,9.773455037282947e-05,9.996315461898915e-07,0.8000737967727172
9.996334797910868e-07,8.269485820858452e-05,9.996334797910868e-07,9.242900822210144e-05,9.996334797910868e-07,7.863269530504912e-05,9.996334797910868e-07,5.214534706205725e-05,9.996334797910868e-07,0.0001048633564496311,9.996334797910868e-07,0.8000886200039099
9.99635774588588e-07,8.813936419295939e-05,9.99635774588588e-07,9.602750370803575e-05,9.99635774588588e-07,7.966690091173235e-05,9.99635774588588e-07,4.883105574620741e-05,9.99635774588588e-07,0.0001085045820910696,9.99635774588588e-07,0.8001017884772091
9.996390377954196e-07,0.0001058885913786232,9.996390377954196e-07,0.0001144573579144886,9.996390377954196e-07,9.481258472804619e-05,9.996390377954196e-07,5.764052287509091e-05,9.996390377954196e-07,0.0001281344720037807,9.996390377954196e-07,0.8001357105063683
9.996425885216667e-07,0.0001393257602182709,9.996425885216667e-07,0.0001518935819710269,9.996425885216667e-07,0.0001273717839923016,9.996425885216667e-07,8.056783899860407e-05,9.996425885216667e-07,0.0001693070153664192,9.996425885216667e-07,0.8001933533993977
9.996463154586189e-07,0.0001663270315986232,9.996463154586189e-07,0.0001800095557264134,9.996463154586189e-07,0.0001491887496171639,9.996463154586189e-07,9.1045743517499e-05,9.996463154586189e-07,0.0002013068532132264,9.996463154586189e-07,0.8002429149301535
9.99648002681882e-07,0.0001711292983546497,9.99648002681882e-07,0.000183358286451404,9.99648002681882e-07,0.0001497903364724796,9.99648002681882e-07,8.712304803423703e-05,9.99648002681882e-07,0.0002056746297713322,9.99648002681882e-07,0.8002551150453791
9.996513771284083e-07,0.000145839923812072,9.996513771284083e-07,0.0001493908810224032,9.996513771284083e-07,0.0001149222648173955,9.996513771284083e-07,5.220517343472707e-05,9.996513771284083e-07,0.0001683567876678312,9.996513771284083e-07,0.8002310070387262
9.99655018307063e-07,8.568489382842397e-05,9.99655018307063e-07,7.763052904507259e-05,9.99655018307063e-07,4.977402752639301e-05,9.99655018307063e-07,4.657898981382117e-07,9.99655018307063e-07,8.699333384288021e-05,9.99655018307063e-07,0.800158820096204
